county,precinct,hd,sd,pres_harris,pres_trump,pres_dem2p,house_dem,house_rep,house_dem2p,delta,has_metric,dem_name,undervote,sen_dem,sen_rep,sen_dem2p,sen_delta,sen_dem_name,sen_undervote
Washington,301,31,,679.0,974.0,41.08,516.0,1040.0,33.16,-7.91,True,Gutierrez,5.9,,,,,,
Washington,302,35,18,1484.0,943.0,61.15,1443.0,895.0,61.72,0.57,True,Chaichi,3.7,1418,948,59.93,-1.22,Campos,2.5
Washington,303,36,18,116.0,209.0,35.69,99.0,208.0,32.25,-3.44,True,Pham,5.5,104,205,33.66,-2.03,Campos,4.9
Washington,304,36,18,627.0,411.0,60.4,596.0,414.0,59.01,-1.39,True,Pham,2.7,560,449,55.5,-4.9,Campos,2.8
Washington,305,31,,380.0,527.0,41.9,286.0,559.0,33.85,-8.05,True,Gutierrez,6.8,,,,,,
Washington,306,34,,433.0,115.0,79.01,429.0,122.0,77.86,-1.16,True,Reynolds,-0.5,,,,,,
Washington,311,31,,291.0,359.0,44.77,248.0,366.0,40.39,-4.38,True,Gutierrez,5.5,,,,,,
Washington,312,31,,670.0,959.0,41.13,537.0,996.0,35.03,-6.1,True,Gutierrez,5.9,,,,,,
Washington,316,31,,704.0,933.0,43.01,520.0,1016.0,33.85,-9.15,True,Gutierrez,6.2,,,,,,
Washington,318,36,18,2324.0,1250.0,65.03,2214.0,1259.0,63.75,-1.28,True,Pham,2.8,2156,1343,61.62,-3.41,Campos,2.1
Washington,319,35,18,3335.0,1627.0,67.21,3143.0,1599.0,66.28,-0.93,True,Chaichi,4.4,3094,1710,64.4,-2.81,Campos,3.2
Washington,320,36,18,1121.0,549.0,67.13,1083.0,557.0,66.04,-1.09,True,Pham,1.8,1046,598,63.63,-3.5,Campos,1.6
Washington,321,31,,111.0,190.0,36.88,95.0,193.0,32.99,-3.89,True,Gutierrez,4.3,,,,,,
Washington,322,36,18,122.0,134.0,47.66,121.0,127.0,48.79,1.13,True,Pham,3.1,113,138,45.02,-2.64,Campos,2.0
Washington,324,31,,208.0,295.0,41.35,166.0,282.0,37.05,-4.3,True,Gutierrez,10.9,,,,,,
Washington,325,34,,114.0,36.0,76.0,103.0,36.0,74.1,-1.9,True,Reynolds,7.3,,,,,,
Washington,326,31,,661.0,1147.0,36.56,522.0,1189.0,30.51,-6.05,True,Gutierrez,5.4,,,,,,
Washington,327,36,18,3427.0,1624.0,67.85,3260.0,1605.0,67.01,-0.84,True,Pham,3.7,3124,1757,64.0,-3.85,Campos,3.4
Washington,330,31,,1071.0,976.0,52.32,848.0,1025.0,45.27,-7.05,True,Gutierrez,8.5,,,,,,
Washington,331,34,,1678.0,608.0,73.4,1597.0,602.0,72.62,-0.78,True,Reynolds,3.8,,,,,,
Washington,334,31,,53.0,80.0,39.85,42.0,80.0,34.43,-5.42,True,Gutierrez,8.3,,,,,,
Washington,348,37,,16.0,8.0,66.67,13.0,11.0,54.17,,False,Walters,0.0,,,,,,
Washington,349,27,,408.0,150.0,73.12,388.0,141.0,73.35,0.23,True,Helm,5.2,,,,,,
Washington,350,27,,4548.0,1520.0,74.95,4303.0,1501.0,74.14,-0.81,True,Helm,4.4,,,,,,
Washington,351,35,18,2062.0,953.0,68.39,1963.0,884.0,68.95,0.56,True,Chaichi,5.6,1924,964,66.62,-1.77,Campos,4.2
Washington,352,35,18,869.0,208.0,80.69,847.0,188.0,81.84,1.15,True,Chaichi,3.9,848,207,80.38,-0.31,Campos,2.0
Washington,353,27,,1705.0,424.0,80.08,1581.0,456.0,77.61,-2.47,True,Helm,4.3,,,,,,
Washington,354,27,,1286.0,464.0,73.49,1217.0,454.0,72.83,-0.66,True,Helm,4.5,,,,,,
Washington,355,35,18,992.0,309.0,76.25,916.0,338.0,73.05,-3.2,True,Chaichi,3.6,895,376,70.42,-5.83,Campos,2.3
Washington,356,35,18,1045.0,530.0,66.35,984.0,536.0,64.74,-1.61,True,Chaichi,3.5,953,579,62.21,-4.14,Campos,2.7
Washington,357,35,18,531.0,256.0,67.47,485.0,234.0,67.45,-0.02,True,Chaichi,8.6,487,237,67.27,-0.2,Campos,8.0
Washington,358,34,,1756.0,672.0,72.32,1644.0,685.0,70.59,-1.73,True,Reynolds,4.1,,,,,,
Washington,359,35,18,1663.0,551.0,75.11,1538.0,560.0,73.31,-1.81,True,Chaichi,5.2,1502,634,70.32,-4.79,Campos,3.5
Washington,360,35,18,1979.0,720.0,73.32,1903.0,710.0,72.83,-0.5,True,Chaichi,3.2,1838,805,69.54,-3.78,Campos,2.1
Washington,361,35,18,1558.0,412.0,79.09,1499.0,390.0,79.35,0.27,True,Chaichi,4.1,1456,446,76.55,-2.54,Campos,3.5
Washington,362,27,,4471.0,1537.0,74.42,4210.0,1609.0,72.35,-2.07,True,Helm,3.1,,,,,,
Washington,363,34,,2097.0,698.0,75.03,1977.0,709.0,73.6,-1.42,True,Reynolds,3.9,,,,,,
Washington,364,34,,3215.0,997.0,76.33,2948.0,1142.0,72.08,-4.25,True,Reynolds,2.9,,,,,,
Washington,365,27,,3510.0,915.0,79.32,3220.0,1045.0,75.5,-3.82,True,Helm,3.6,,,,,,
Washington,366,33,,1268.0,287.0,81.54,1146.0,319.0,78.23,-3.32,True,Jones-Isadore,5.8,,,,,,
Washington,367,34,,3030.0,1024.0,74.74,2821.0,1099.0,71.96,-2.78,True,Reynolds,3.3,,,,,,
Washington,368,34,,2639.0,980.0,72.92,2457.0,1016.0,70.75,-2.17,True,Reynolds,4.0,,,,,,
Washington,371,34,,1461.0,475.0,75.46,1351.0,536.0,71.6,-3.87,True,Reynolds,2.5,,,,,,
Washington,372,27,,1275.0,356.0,78.17,1186.0,391.0,75.21,-2.97,True,Helm,3.3,,,,,,
Washington,375,27,,206.0,52.0,79.84,194.0,60.0,76.38,-3.47,True,Helm,1.6,,,,,,
