county,precinct,hd,sd,pres_harris,pres_trump,pres_dem2p,house_dem,house_rep,house_dem2p,delta,has_metric,dem_name,undervote,sen_dem,sen_rep,sen_dem2p,sen_delta,sen_dem_name,sen_undervote
Baker,1,60,30,260.0,642.0,28.82,,,,,false,,,,,,,,
Baker,2,60,30,307.0,608.0,33.55,,,,,false,,,,,,,,
Baker,3,60,30,301.0,698.0,30.13,,,,,false,,,,,,,,
Baker,4,60,30,299.0,831.0,26.46,,,,,false,,,,,,,,
Baker,5,60,30,305.0,930.0,24.7,,,,,false,,,,,,,,
Baker,13,60,30,127.0,596.0,17.57,,,,,false,,,,,,,,
Baker,14,60,30,3.0,70.0,4.11,,,,,false,,,,,,,,
Baker,15,60,30,65.0,361.0,15.26,,,,,false,,,,,,,,
Baker,17,60,30,96.0,482.0,16.61,,,,,false,,,,,,,,
Baker,18,60,30,3.0,72.0,4.0,,,,,false,,,,,,,,
Baker,19,60,30,52.0,215.0,19.48,,,,,false,,,,,,,,
Baker,20,60,30,19.0,39.0,32.76,,,,,false,,,,,,,,
Baker,21,60,30,25.0,137.0,15.43,,,,,false,,,,,,,,
Baker,22,60,30,188.0,458.0,29.1,,,,,false,,,,,,,,
Baker,24,60,30,214.0,592.0,26.55,,,,,false,,,,,,,,
Baker,25,60,30,64.0,252.0,20.25,,,,,false,,,,,,,,
Baker,26,60,30,15.0,77.0,16.3,,,,,false,,,,,,,,
Benton,01,16,,3307.0,835.0,79.84,,,,,false,McDonald (unopp.),,,,,,,
Benton,02,16,,1272.0,265.0,82.76,,,,,false,McDonald (unopp.),,,,,,,
Benton,03,16,,2535.0,612.0,80.55,,,,,false,McDonald (unopp.),,,,,,,
Benton,04,16,,833.0,128.0,86.68,,,,,false,McDonald (unopp.),,,,,,,
Benton,05,16,,1638.0,243.0,87.08,,,,,false,McDonald (unopp.),,,,,,,
Benton,06,16,,2406.0,483.0,83.28,,,,,false,McDonald (unopp.),,,,,,,
Benton,07,16,,3003.0,422.0,87.68,,,,,false,McDonald (unopp.),,,,,,,
Benton,08,16,,3752.0,726.0,83.79,,,,,false,McDonald (unopp.),,,,,,,
Benton,09,16,,2321.0,764.0,75.24,,,,,false,McDonald (unopp.),,,,,,,
Benton,10,10,5,1891.0,1114.0,62.93,,,,,false,Gomberg (unopp.),,1702.0,1302.0,56.66,-6.27,Beaudreau,0.0
Benton,11,15,,3164.0,2606.0,54.84,2664.0,3156.0,45.77,-9.07,true,Virnig,-0.9,,,,,,
Benton,12,16,,463.0,272.0,62.99,,,,,false,McDonald (unopp.),,,,,,,
Benton,13,10,5,149.0,208.0,41.74,,,,,false,Gomberg (unopp.),,143.0,218.0,39.61,-2.13,Beaudreau,-1.1
Benton,14,10,5,224.0,365.0,38.03,,,,,false,Gomberg (unopp.),,211.0,389.0,35.17,-2.86,Beaudreau,-1.9
Benton,15,10,5,1443.0,1284.0,52.92,,,,,false,Gomberg (unopp.),,1246.0,1483.0,45.66,-7.26,Beaudreau,-0.1
Benton,16,16,,3593.0,1569.0,69.6,,,,,false,McDonald (unopp.),,,,,,,
Benton,17,15,,31.0,13.0,70.45,28.0,18.0,60.87,,false,Virnig,-4.5,,,,,,
Benton,18,16,,649.0,786.0,45.23,,,,,false,McDonald (unopp.),,,,,,,
Benton,19,10,5,660.0,502.0,56.8,,,,,false,Gomberg (unopp.),,575.0,571.0,50.17,-6.63,Beaudreau,1.4
Benton,20,10,5,305.0,526.0,36.7,,,,,false,Gomberg (unopp.),,274.0,565.0,32.66,-4.04,Beaudreau,-1.0
Benton,21,10,5,270.0,464.0,36.78,,,,,false,Gomberg (unopp.),,234.0,498.0,31.97,-4.81,Beaudreau,0.3
Clackamas,100,39,,51,30,62.96,46,27,63.01,0.05,true,Dobson,9.9,,,,,,
Clackamas,101,39,,3242,2466,56.8,2871,2550,52.96,-3.84,true,Dobson,5.0,,,,,,
Clackamas,102,48,,598,681,46.76,537,654,45.09,-1.67,true,H. Nguyen,6.9,,,,,,
Clackamas,103,39,,1535,1168,56.79,1311,1289,50.42,-6.37,true,Dobson,3.8,,,,,,
Clackamas,104,48,,10,13,43.48,10,12,45.45,,false,H. Nguyen,4.3,,,,,,
Clackamas,105,39,,2231,1759,55.91,1900,1929,49.62,-6.29,true,Dobson,4.0,,,,,,
Clackamas,106,51,,975,1941,33.44,,,,,false,,,,,,,,
Clackamas,107,51,,740,1079,40.68,,,,,false,,,,,,,,
Clackamas,108,51,,1815,2562,41.47,,,,,false,,,,,,,,
Clackamas,109,52,,0,0,,0,0,,,false,Walden Poublon,,,,,,,
Clackamas,111,18,9,1403,3245,30.19,1194,3200,27.17,-3.02,true,Dow,5.5,1258,3140,28.6,-1.59,Ashland,5.4
Clackamas,112,48,,0,0,,0,0,,,false,H. Nguyen,,,,,,,
Clackamas,113,39,,38,15,71.7,26,24,52.0,-19.7,true,Dobson,5.7,,,,,,
Clackamas,114,39,,102,64,61.45,93,61,60.39,-1.06,true,Dobson,7.2,,,,,,
Clackamas,122,51,,1498,1799,45.44,,,,,false,,,,,,,,
Clackamas,123,51,,856,1178,42.08,,,,,false,,,,,,,,
Clackamas,124,51,,1552,1863,45.45,,,,,false,,,,,,,,
Clackamas,125,51,,593,639,48.13,,,,,false,,,,,,,,
Clackamas,127,18,9,23,51,31.08,19,50,27.54,-3.54,true,Dow,6.8,21,51,29.17,-1.91,Ashland,2.7
Clackamas,131,37,,3750,2008,65.13,3429,2131,61.67,-3.46,true,Walters,3.4,,,,,,
Clackamas,132,37,,2812,1380,67.08,2555,1524,62.64,-4.44,true,Walters,2.7,,,,,,
Clackamas,133,37,,1278,494,72.12,1203,540,69.02,-3.1,true,Walters,1.6,,,,,,
Clackamas,134,38,,8,0,100.0,,,,,false,,,,,,,,
Clackamas,135,37,,3431,1398,71.05,3154,1617,66.11,-4.94,true,Walters,1.2,,,,,,
Clackamas,151,38,,1755,587,74.94,,,,,false,,,,,,,,
Clackamas,152,38,,3666,1351,73.07,,,,,false,,,,,,,,
Clackamas,153,37,,276,135,67.15,254,151,62.72,-4.43,true,Walters,1.5,,,,,,
Clackamas,154,37,,64,27,70.33,55,25,68.75,-1.58,true,Walters,12.1,,,,,,
Clackamas,155,38,,1928,640,75.08,,,,,false,,,,,,,,
Clackamas,156,38,,3226,1026,75.87,,,,,false,,,,,,,,
Clackamas,157,37,,57,32,64.04,53,34,60.92,-3.12,true,Walters,2.2,,,,,,
Clackamas,158,38,,3017,923,76.57,,,,,false,,,,,,,,
Clackamas,159,38,,1861,667,73.62,,,,,false,,,,,,,,
